tax_id	scientificName	Order	Diet	Massg	high_hfp_extent_suitable	high_hfp_extent_unsuitable	GISfrag_suitable	Percentage_change_suitable	Percentage_change_unsuitable	mean_distance_unsuitable	proportion_suitable	proportion_unsuitable	trans9617
4685	Chiropotes albinasus	Primates	omnivore	2900	15.69783159	51.40607068	4206.345781	5.739267975	5.06859228	778.886144	87.19936665	12.80063335	1
4691	Chiruromys forbesi	Rodentia	herbivore	105.2	53.58506838	64.63661935	664.0533413	85.59604552	52.90962453	736.663159	51.21715281	48.78284719	0
4692	Chiruromys lamia	Rodentia	herbivore	47.2	42.75319275	50.24994566	707.6467307	74.36609934	70.55219146	5695.18371	19.62234181	80.37765819	0
4693	Chiruromys vates	Rodentia	herbivore	45.6	34.83341381	22.59527675	661.7657399	2.675353479	0.674074074	1023.97796	40.84769636	59.15230364	0
4703	Calyptophractus retusus	Cingulata	carnivore	130	65.87060115	47.76846702	1044.466802	4.973319554	6.614948094	2949.394554	27.86110178	72.13889822	1
4704	Chlamyphorus truncatus	Cingulata	carnivore	44.3	69.15161561	83.05286672	8146.522422	1.306344921	1.022054868	498.084138	96.19199456	3.808005442	0
4766	Chlorotalpa sclateri	Afrosoricida	carnivore	39.1	99.11000958	98.18557121	772.6275778	0.022733731	0	462.1615238	57.63357033	42.36642967	0
4768	Chlorotalpa duthieae	Afrosoricida	carnivore	45.6	92.81507656	91.08527132	340.3777233	0.38071066	1.232951446	2644.106336	7.885578893	92.11442111	1
4772	Choeroniscus godmani	Chiroptera	omnivore	7.9	57.23618267	80.62855362	2498.500446	4.146488615	2.080308653	2030.928908	76.65169548	23.34830452	0
4774	Choeroniscus minor	Chiroptera	omnivore	8.7	18.92064139	66.07274818	4680.238367	10.23328514	3.709684586	6206.306586	84.63419471	15.36580529	0
4775	Choeroniscus periosus	Chiroptera	omnivore	10.5	82.75366872	80.55864229	1697.611247	1.979392625	1.981315443	1699.868783	69.03825039	30.96174961	1
4776	Choeronycteris mexicana	Chiroptera	omnivore	16.6	78.93035986	82.30037326	5365.145628	1.128076399	1.19714244	9214.773534	70.50461846	29.49538154	1
4777	Choloepus didactylus	Pilosa	herbivore	5160	10.80872118	41.52173265	3853.559101	14.17679618	6.589849533	799.1872057	89.56919304	10.43080696	0
4778	Choloepus hoffmanni	Pilosa	herbivore	4750	42.88418775	88.5182644	2701.863132	5.968525044	1.508058065	1247.276205	77.7891947	22.2108053	0
4803	Abrothrix andinus	Rodentia	omnivore	18	67.06555607	79.19717186	7083.554539	1.954614445	1.791268287	1970.666536	91.71098859	8.289011405	0
4804	Abrothrix jelskii	Rodentia	omnivore	34.5	91.01897101	79.5674496	4473.786125	0.935065719	0.49911194	2102.524093	87.40510102	12.59489898	0
4806	Chrotogale owstoni	Carnivora	omnivore	3250	96.08062892	98.77850521	392.7630044	2.010041756	0.473415646	1987.058442	27.82300501	72.17699499	1
4807	Chrotomys gonzalesi	Rodentia	omnivore	140.2	100	100	382.1522	0	0	466.3676342	27.22063037	72.77936963	1
4808	Chrotomys mindorensis	Rodentia	omnivore	179	94.76588365	96.7032967	613.8196289	1.463982698	0.059808612	882.777242	47.8225361	52.1774639	0
4810	Chrotomys whiteheadi	Rodentia	omnivore	140.7	88.22320582	93.63550519	716.3224621	2.078480559	2.218636547	1651.401589	37.22822036	62.77177964	0
4811	Chrotopterus auritus	Chiroptera	omnivore	77.9	28.76460478	80.46655563	3128.806242	6.578047442	1.516747231	4460.397759	55.48764712	44.51235288	0
4819	Chrysocyon brachyurus	Carnivora	omnivore	23249.8	81.33580434	50.75854364	2053.323262	1.400864193	2.812672984	1971.767359	80.85953461	19.14046539	1
